Condition numbers diagonal scaling algorithm 1 for precision 1 
1 & 1.05e+12 & 9.59e+06 & 9.59e+06 & 2.09e+04\\ 
2 & 6.76e+10 & 2.36e+06 & 2.36e+06 & 1.58e+03\\ 
3 & 2.49e+06 & 8.20e+03 & 9.39e+03 & 1.85e+00\\ 
4 & 1.59e+09 & 1.96e+05 & 1.16e+04 & 4.46e+01\\ 
5 & 3.11e+07 & 9.27e+00 & 9.27e+00 & 1.00e+00\\ 
6 & 7.64e+10 & 3.16e+01 & 3.16e+01 & 1.00e+00\\ 
7 & 1.33e+10 & 3.17e+06 & 3.21e+06 & 9.39e+03\\ 
8 & 1.98e+10 & 6.77e+05 & 6.71e+05 & 6.68e+01\\ 
9 & 3.78e+12 & 5.36e+06 & 5.30e+06 & 1.95e+03\\ 
10 & 5.44e+06 & 8.30e+04 & 7.97e+04 & 1.53e+00\\ 
11 & 2.53e+07 & 8.70e+06 & 5.11e+06 & 2.13e+03\\ 
12 & 2.92e+04 & 7.78e+03 & 6.54e+03 & 2.55e+00\\ 
13 & 1.08e+14 & 6.95e+09 & 6.95e+09 & 8.13e+06\\ 


Condition numbers diagonal scaling algorithm 2 for precision 1 
1 & 1.05e+12 & 3.01e+06 & 2.99e+06 & 1.19e+04\\ 
2 & 6.76e+10 & 1.10e+06 & 1.09e+06 & 1.79e+03\\ 
3 & 2.49e+06 & 6.88e+03 & 6.67e+03 & 2.09e+00\\ 
4 & 1.59e+09 & 2.95e+05 & 2.43e+05 & 2.24e+02\\ 
5 & 3.11e+07 & 3.53e+01 & 3.53e+01 & 1.00e+00\\ 
6 & 7.64e+10 & 4.09e+01 & 4.09e+01 & 1.01e+00\\ 
7 & 1.33e+10 & 3.09e+06 & 3.11e+06 & 2.69e+03\\ 
8 & 1.98e+10 & 9.52e+05 & 9.48e+05 & 4.61e+01\\ 
9 & 3.78e+12 & 6.28e+06 & 6.20e+06 & 1.02e+03\\ 
10 & 5.44e+06 & 3.08e+04 & 2.27e+04 & 4.66e+00\\ 
11 & 2.53e+07 & 7.54e+06 & 3.06e+06 & 8.70e+02\\ 
12 & 2.92e+04 & 5.95e+03 & 4.70e+03 & 2.67e+00\\ 
13 & 1.08e+14 & 4.34e+05 & 4.33e+05 & 3.72e+01\\ 


Condition numbers diagonal scaling algorithm 1 for precision 2 
1 & 1.05e+12 & 9.59e+06 & 9.59e+06 & 2.09e+04\\ 
2 & 6.76e+10 & 2.36e+06 & 2.36e+06 & 1.58e+03\\ 
3 & 2.49e+06 & 8.20e+03 & 9.39e+03 & 1.85e+00\\ 
4 & 1.59e+09 & 1.96e+05 & 1.16e+04 & 4.46e+01\\ 
5 & 3.11e+07 & 9.27e+00 & 9.27e+00 & 1.00e+00\\ 
6 & 7.64e+10 & 3.16e+01 & 3.16e+01 & 1.00e+00\\ 
7 & 1.33e+10 & 3.17e+06 & 3.21e+06 & 9.39e+03\\ 
8 & 1.98e+10 & 6.77e+05 & 6.71e+05 & 6.68e+01\\ 
9 & 3.78e+12 & 5.36e+06 & 5.30e+06 & 1.95e+03\\ 
10 & 5.44e+06 & 8.30e+04 & 7.97e+04 & 1.53e+00\\ 
11 & 2.53e+07 & 8.70e+06 & 5.11e+06 & 2.13e+03\\ 
12 & 2.92e+04 & 7.78e+03 & 6.54e+03 & 2.55e+00\\ 
13 & 1.08e+14 & 6.95e+09 & 6.95e+09 & 8.13e+06\\ 


Condition numbers diagonal scaling algorithm 2 for precision 2 
1 & 1.05e+12 & 3.01e+06 & 2.99e+06 & 1.19e+04\\ 
2 & 6.76e+10 & 1.10e+06 & 1.09e+06 & 1.79e+03\\ 
3 & 2.49e+06 & 6.88e+03 & 6.67e+03 & 2.09e+00\\ 
4 & 1.59e+09 & 2.95e+05 & 2.43e+05 & 2.24e+02\\ 
5 & 3.11e+07 & 3.53e+01 & 3.53e+01 & 1.00e+00\\ 
6 & 7.64e+10 & 4.09e+01 & 4.09e+01 & 1.01e+00\\ 
7 & 1.33e+10 & 3.09e+06 & 3.11e+06 & 2.69e+03\\ 
8 & 1.98e+10 & 9.52e+05 & 9.48e+05 & 4.61e+01\\ 
9 & 3.78e+12 & 6.28e+06 & 6.20e+06 & 1.02e+03\\ 
10 & 5.44e+06 & 3.08e+04 & 2.27e+04 & 4.66e+00\\ 
11 & 2.53e+07 & 7.52e+06 & 3.06e+06 & 8.70e+02\\ 
12 & 2.92e+04 & 5.95e+03 & 4.70e+03 & 2.67e+00\\ 
13 & 1.08e+14 & 4.34e+05 & 4.33e+05 & 3.72e+01\\ 


Condition numbers rank1 scaling algorithm 1 for precision 1 
1 & 1.05e+12 & 1.35e+12 & 8.86e+11 & 1.33e+08\\ 
2 & 6.76e+10 & 6.19e+10 & 5.92e+10 & 5.46e+09\\ 
3 & 2.49e+06 & 6.03e+06 & 4.61e+06 & 4.63e+00\\ 
